,PR,TR,포트배당수익률(%)
2022-05-03,4529.957356493393,5239.620339953153,1.9654358553891216
2022-05-04,4509.1833409621395,5215.872522427227,1.9654358553891216
2022-05-06,4450.463449217993,5148.503949027386,1.9654358553891216
2022-05-09,4334.133292888349,5014.737200623456,1.9654358553891216
2022-05-10,4374.255560823341,5061.432351319093,1.9654358553891216
2022-05-11,4406.905084417435,5099.485367176251,1.9654358553891216
2022-05-12,4287.815276894145,4961.946638020265,1.9654358553891216
2022-05-13,4444.3483859182215,5143.366673806192,1.9654358553891216
2022-05-16,4426.58294656197,5123.634026997585,1.9654358553891216
2022-05-17,4502.89942406474,5212.248469244255,1.9654358553891216
2022-05-18,4539.307470015915,5254.674676202665,1.9654358553891216
2022-05-19,4487.972941460937,5195.529698702556,1.9654358553891216
2022-05-20,4503.072522183819,5213.290337648718,1.9654358553891216
2022-05-23,4531.718446006492,5247.301199572914,1.9654358553891216
2022-05-24,4357.51170602243,5045.857783483157,1.9654358553891216
2022-05-25,4352.540249138624,5040.372208385625,1.9654358553891216
2022-05-26,4279.755395108367,4956.351853894101,1.9654358553891216
2022-05-27,4309.853291429063,4991.476576867929,1.9654358553891216
2022-05-30,4383.162851258116,5077.199874326281,1.9654358553891216
2022-05-31,4386.927751744794,5081.834357538625,1.9654358553891216
2022-06-02,4337.088921166971,5024.641561003857,1.9654358553891216
2022-06-03,4370.288602952176,5063.376791095931,1.9654358553891216
2022-06-07,4288.95624683135,4970.215432858644,1.9654358553891216
2022-06-08,4293.934996763657,4976.252770268933,1.9654358553891216
2022-06-09,4296.258037102218,4979.212868458286,1.9654358553891216
2022-06-10,4218.404964898243,4889.246959155642,1.9654358553891216
2022-06-13,4033.503744754181,4675.696063433367,1.9654358553891216
2022-06-14,3996.6649354780843,4633.2412857689105,1.9654358553891216
2022-06-15,3920.3536267495115,4545.019906871937,1.9654358553891216
2022-06-16,3909.4761573156247,4532.653121530641,1.9654358553891216
2022-06-17,3837.078556623824,4448.954612056251,1.9654358553891216
2022-06-20,3703.799152746621,4295.115193309738,1.9654358553891216
2022-06-21,3719.5489636299303,4313.611586634568,1.9654358553891216
2022-06-22,3514.73878107768,4076.309766068844,1.9654358553891216
2022-06-23,3467.7371632274435,4022.014832427245,1.9654358553891216
2022-06-24,3598.7920633216536,4174.241948998852,1.9654358553891216
2022-06-27,3707.4337271500626,4300.949705777972,1.9654358553891216
2022-06-28,3744.7816754586834,4344.510384310989,1.9654358553891216
2022-06-29,3700.4818873311438,4293.3469779395655,1.9654358553891216
2022-06-30,3591.010814678991,4166.561416182241,1.9654358553891216
2022-07-01,3478.8357286735095,4036.6246282225784,1.9654358553891216
2022-07-04,3491.7349682611766,4052.246160661234,1.9654358553891216
2022-07-05,3587.593504341295,4163.7164406769525,1.9654358553891216
2022-07-06,3524.6414969425346,4090.8752441694537,1.9654358553891216
2022-07-07,3629.782915704329,4213.134334075453,1.9654358553891216
2022-07-08,3658.181024547764,4246.324858873239,1.9654358553891216
2022-07-11,3737.2416029307274,4338.796705018198,1.9654358553891216
2022-07-12,3629.2232954360497,4213.618245025266,1.9654358553891216
2022-07-13,3722.19042791732,4321.787937199719,1.9654358553891216
2022-07-14,3720.521571625427,4320.082313488046,1.9621376743856467
2022-07-15,3784.8232542192964,4394.982277132457,1.9621376743856467
2022-07-18,3862.4752150933778,4485.8755005117455,1.9621376743856467
2022-07-19,3809.766928801048,4424.897835195351,1.9621376743856467
2022-07-20,3847.85825131984,4469.379525985194,1.9621376743856467
2022-07-21,3966.5346206805893,4607.472473608557,1.9621376743856467
2022-07-22,3943.8221507670446,4581.336076568207,1.9621376743856467
2022-07-25,3913.0432184513597,4546.314339715571,1.9621376743856467
2022-07-26,3916.5557995711642,4550.63983185502,1.9621376743856467
2022-07-27,3920.0535085128768,4554.948494720802,1.9621376743856467
